jaar,week,start.week,eind.week,ondergrens,bovengrens,sterfte,oversterfte,midpoint
2020,34,13/Aug,19/Aug,NA,NA,NA,0,0
2020,35,20/Aug,26/Aug,NA,NA,NA,0,0
2020,36,27/Aug,02/Sep,NA,NA,NA,0,0
2020,37,03/Sep,09/Sep,NA,NA,NA,0,0
2020,38,10/Sep,16/Sep,2488,2811,2687,37.5,2649.5
2020,39,17/Sep,23/Sep,2508,2831,2721,51.5,2669.5
2020,40,24/Sep,30/Sep,2530,2853,2832,140.5,2691.5
2020,41,1-okt,7-okt,2553,2876,2972,257.5,2714.5
2020,42,8-okt,14-okt,2577,2900,3001,262.5,2738.5
2020,43,15-okt,21-okt,2602,2925,3298,534.5,2763.5
2020,44,22-okt,28-okt,2628,2951,3448,658.5,2789.5
2020,45,29-okt,04/Nov,2653,2976,3597,782.5,2814.5
2020,46,05/Nov,11/Nov,2678,3001,3500,660.5,2839.5
2020,47,12/Nov,18/Nov,NA,NA,NA,NA,NA
2020,48,19/Nov,25/Nov,2725,3049,3260,373,2887
2020,49,26/Nov,02/Dec,2747,3072,3367,458,2909.5
2020,50,03/Dec,09/Dec,2768,3092,3395,465,2930
2020,51,10/Dec,16/Dec,NA,NA,NA,NA,0
2020,52,17/Dec,23/Dec,NA,NA,NA,NA,0
2020,53,24/Dec,30/Dec,2815,3141,3742,764,2978
2021,1,31/Dec,06/Jan,NA,NA,NA,NA,0
2021,2,07/Jan,13/Jan,2828,3154,3959,968,2991
2021,3,14/Jan,20/Jan,2836,3162,3731,732,2999
2021,4,21/Jan,27/Jan,2841,3167,3641,637,3004
2021,5,28/Jan,03/Feb,2843,3169,3619,613,3006
2021,6,04/Feb,10/Feb,2841,3168,3592,587,3004.5
2021,7,11/Feb,17/Feb,2837,3164,3442,441,3000.5
2021,8,18/Feb,24/Feb,2830,3157,3348,354,2993.5
2021,9,25/Feb,3-mrt,2820,3147,3059,76,2983.5
2021,10,4-mrt,10-mrt,2808,3135,3109,138,2971.5
2021,11,11-mrt,17-mrt,2793,3120,3052,96,2956.5
2021,12,18-mrt,24-mrt,2776,3102,2986,47,2939
2021,13,25-mrt,31-mrt,2757,3083,2897,-23,2920
2021,14,01/Apr,07/Apr,2736,3062,3086,187,2899
2021,15,08/Apr,14/Apr,2714,3040,3111,234,2877
2021,16,15/Apr,21/Apr,2690,3016,2952,99,2853
2021,17,22/Apr,28/Apr,2666,2992,3106,277,2829
2021,18,29/Apr,5-mei,2642,2968,2947,142,2805
2021,19,6-mei,12-mei,2618,2943,2981,201,2780.5
2021,20,13-mei,19-mei,2594,2919,2831,74.5,2756.5
2021,21,20-mei,26-mei,2570,2895,2837,104.5,2732.5
2021,22,27-mei,02/Jun,2548,2873,2878,167.5,2710.5
2021,23,03/Jun,09/Jun,2527,2852,2882,192.5,2689.5
2021,24,10/Jun,16/Jun,2508,2833,2797,126.5,2670.5
2021,25,17/Jun,23/Jun,2590,2816,2658,-45,2703
2021,26,24/Jun,30/Jun,2475,2801,2671,33,2638
2021,27,01/Jul,07/Jul,2463,2788,2747,121.5,2625.5
2021,28,08/Jul,14/Jul,2453,2779,2751,135,2616
2021,29,15/Jul,21/Jul,2445,2772,2722,113.5,2608.5
2021,30,22/Jul,28/Jul,2441,2767,2820,216,2604
2021,31,29/Jul,04/Aug,2440,2766,2778,175,2603
2021,32,05/Aug,11/Aug,2442,2768,2803,198,2605
2021,33,12/Aug,18/Aug,2446,2773,2683,73.5,2609.5
2021,34,19/Aug,25/Aug,2454,2781,2881,263.5,2617.5
2021,35,26/Aug,01/Sep,2465,2791,2733,105,2628
2021,36,02/Sep,08/Sep,2478,2804,2917,276,2641
2021,37,09/Sep,15/Sep,2494,2820,2834,177,2657
2021,38,16/Sep,22/Sep,2512,2838,2794,119,2675
2021,39,23/Sep,29/Sep,2532,2858,2842,147,2695
2021,40,30/Sep,06/Oct,2553,2880,3001,285,2716.5
2021,41,07/Oct,13/Oct,2577,2903,3013,273,2740
2021,42,14/Oct,20/Oct,2601,2927,3058,294,2764
2021,43,21/Oct,27/Oct,2626,2952,3208,419,2789
2021,44,28/Oct,03/Nov,2651,2977,3365,551,2814
2021,45,04/Nov,10/Nov,2676,3003,3471,631.5,2839.5
2021,46,11/Nov,17/Nov,2701,3028,3734,869.5,2864.5
2021,47,18/Nov,24/Nov,2726,3053,4054,1164.5,2889.5
2021,48,25/Nov,01/Dec,2749,3076,4214,1301.5,2912.5
2021,49,02/Dec,08/Dec,2771,3098,4165,1230.5,2934.5
2021,50,09/Dec,15/Dec,2791,3119,4165,1210,2955
2021,51,16/Dec,22/Dec,2809,3137,3713,740,2973
2021,52,23/Dec,29/Dec,2825,3154,3630,640.5,2989.5
2022,2,30/Dec,05/Jan,2841,3170,3468,462.5,3005.5
2022,3,06/Jan,12/Jan,2852,3180,3210,194,3016
2022,4,13/Jan,19/Jan,2859,3188,3018,-5.5,3023.5
2022,5,20/Jan,26/Jan,2864,3193,3097,68.5,3028.5
2022,6,27/Jan,02/Feb,2866,3195,3259,228.5,3030.5
2022,7,03/Feb,09/Feb,2865,3194,3103,73.5,3029.5
2022,8,10/Feb,16/Feb,2860,3190,3196,171,3025
2022,9,17/Feb,23/Feb,2853,3183,3428,410,3018
2022,10,24/Feb,02/Mar,2843,3173,3127,119,3008
2022,11,03/Mar,09/Mar,2831,3161,3209,213,2996
2022,12,10/Mar,16/Mar,2816,3146,3451,470,2981
2022,13,17/Mar,23/Mar,2799,3129,3533,569,2964
2022,14,24/Mar,30/Mar,2780,3109,3447,502.5,2944.5
2022,15,31/Mar,06/Apr,2759,3088,3524,600.5,2923.5
2022,16,07/Apr,13/Apr,2737,3066,3353,451.5,2901.5
2022,17,14/Apr,20/Apr,2713,3043,3268,390,2878
2022,18,21/Apr,27/Apr,2689,3018,3180,326.5,2853.5
2022,19,28/Apr,04/May,2665,2994,2968,138.5,2829.5
2022,20,05/May,11/May,2641,2969,3056,251,2805
2022,21,12/May,18/May,2616,2945,3052,271.5,2780.5
2022,22,26/May,01/Jun,2593,2922,2936,178.5,2757.5
2022,23,02/Jun,08/Jun,2550,2879,2836,121.5,2714.5
2022,24,09/Jun,15/Jun,2530,2860,2889,194,2695
2022,25,16/Jun,22/Jun,2513,2842,2956,278.5,2677.5
2022,26,23/Jun,29/Jun,2498,2828,3040,377,2663
2022,27,30/Jun,06/Jul,2547,2893,2881,161,2720
2022,28,07/Jul,13/Jul,2534,2881,2980,272.5,2707.5
2022,29,14/Jul,20/Jul,2525,2872,3084,385.5,2698.5
2022,30,21/Jul,27/Jul,2520,2867,3046,352.5,2693.5
2022,31,28/Jul,03/Aug,2518,2866,2978,286,2692
2022,32,04/Aug,10/Aug,2520,2868,2866,172,2694
2022,33,11/Aug,17/Aug,2525,2873,2944,245,2699
2022,34,18/Aug,24/Aug,2533,2882,2943,235.5,2707.5
2022,35,25/Aug,31/Aug,2545,2894,2922,202.5,2719.5
2022,36,01/Sep,07/Sep,2560,2909,2863,128.5,2734.5
2022,37,08/Sep,14/Sep,2578,2928,2822,69,2753
2022,38,15/Sep,21/Sep,2599,2949,2783,9,2774
2022,39,22/Sep,28/Sep,2623,2972,2944,146.5,2797.5
2022,40,29/Sep,05/Oct,2648,2997,3103,280.5,2822.5
2022,41,06/Oct,12/Oct,2675,3025,3196,346,2850
2022,42,13/Oct,19/Oct,2675,3025,3196,346,2850
2022,43,20/Oct,26/Oct,2733,3083,3295,387,2908
2022,44,27/Oct,02/Nov,2763,3113,3227,289,2938
