"doodsoorzaken","number","category","year","week"
"https://www.cbs.nl/nl-nl/maatwerk/2020/40/doodsoorzaken-januari-juni-2020","202040",TRUE,"2020","40"
"https://www.cbs.nl/nl-nl/longread/statistische-trends/2021/doodsoorzaken-2000-2020","202120",TRUE,"2021","20"
"https://www.cbs.nl/nl-nl/maatwerk/2021/44/doodsoorzaken-2020-juni-2021","202144",TRUE,"2021","44"
"https://www.cbs.nl/nl-nl/maatwerk/2021/48/doodsoorzaken-2020-juli-2021","202148",TRUE,"2021","48"
"https://www.cbs.nl/nl-nl/maatwerk/2022/01/doodsoorzaken-2020-augustus-2021","202201",TRUE,"2022","01"
"https://www.cbs.nl/nl-nl/maatwerk/2022/05/doodsoorzaken-2020-september-2021","202205",TRUE,"2022","05"
"https://www.cbs.nl/nl-nl/maatwerk/2022/09/doodsoorzaken-2020-oktober-2021","202209",TRUE,"2022","09"
"https://www.cbs.nl/nl-nl/maatwerk/2022/11/doodsoorzaken-2020-november-2021","202211",TRUE,"2022","11"
"https://www.cbs.nl/nl-nl/maatwerk/2022/13/doodsoorzaken-2020-december-2021","202213",TRUE,"2022","13"
"https://www.cbs.nl/nl-nl/maatwerk/2022/19/doodsoorzaken-2020-januari-2022","202219",TRUE,"2022","19"
"https://www.cbs.nl/nl-nl/maatwerk/2022/26/doodsoorzaken-2020-februari-2022","202226",TRUE,"2022","26"
"https://www.cbs.nl/nl-nl/maatwerk/2022/30/doodsoorzaken-maart-2022","202230",TRUE,"2022","30"
"https://www.cbs.nl/nl-nl/maatwerk/2022/33/doodsoorzaken-2020-april-2022","202233",TRUE,"2022","33"
"https://www.cbs.nl/nl-nl/maatwerk/2022/38/doodsoorzaken-2020-mei-2022","202238",TRUE,"2022","38"
"https://www.cbs.nl/nl-nl/maatwerk/2022/42/doodsoorzaken-2020-juni-2022","202242",TRUE,"2022","42"
"https://www.cbs.nl/nl-nl/maatwerk/2022/47/doodsoorzaken-2020-juli-2022","202247",TRUE,"2022","47"
