"Besmettingen","date","Cumulatief"
2,2022-05-20,2
0,2022-05-21,2
0,2022-05-22,2
4,2022-05-23,6
0,2022-05-24,6
6,2022-05-25,12
0,2022-05-26,12
0,2022-05-27,12
0,2022-05-28,12
0,2022-05-29,12
14,2022-05-30,26
0,2022-05-31,26
0,2022-06-01,26
14,2022-06-02,40
0,2022-06-03,40
0,2022-06-04,40
0,2022-06-05,40
0,2022-06-06,40
14,2022-06-07,54
0,2022-06-08,54
6,2022-06-09,60
0,2022-06-10,60
0,2022-06-11,60
0,2022-06-12,60
0,2022-06-13,60
20,2022-06-14,80
0,2022-06-15,80
15,2022-06-16,95
0,2022-06-17,95
0,2022-06-18,95
0,2022-06-19,95
0,2022-06-20,95
0,2022-06-21,95
72,2022-06-22,167
0,2022-06-23,167
44,2022-06-24,211
0,2022-06-25,211
0,2022-06-26,211
0,2022-06-27,211
46,2022-06-28,257
0,2022-06-29,257
0,2022-06-30,257
31,2022-07-01,288
0,2022-07-02,288
0,2022-07-03,288
64,2022-07-04,352
0,2022-07-05,352
0,2022-07-06,352
50,2022-07-07,402
0,2022-07-08,402
0,2022-07-09,402
0,2022-07-10,402
101,2022-07-11,503
0,2022-07-12,503
0,2022-07-13,503
46,2022-07-14,549
0,2022-07-15,549
0,2022-07-16,549
0,2022-07-17,549
107,2022-07-18,656
0,2022-07-19,656
0,2022-07-20,656
56,2022-07-21,712
0,2022-07-22,712
0,2022-07-23,712
0,2022-07-24,712
106,2022-07-25,818
0,2022-07-26,818
0,2022-07-27,818
60,2022-07-28,878
0,2022-07-29,878
0,2022-07-30,878
0,2022-07-31,878
47,2022-08-01,925
0,2022-08-02,925
0,2022-08-03,925
32,2022-08-04,957
0,2022-08-05,957
0,2022-08-06,957
0,2022-08-07,957
0,2022-08-08,957
0,2022-08-09,957
0,2022-08-10,957
68,2022-08-11,1025
0,2022-08-12,1025
0,2022-08-13,1025
0,2022-08-14,1025
0,2022-08-15,1025
0,2022-08-16,1025
0,2022-08-17,1025
62,2022-08-18,1087
0,2022-08-19,1087
0,2022-08-20,1087
0,2022-08-21,1087
0,2022-08-22,1087
0,2022-08-23,1087
0,2022-08-24,1087
49.0000000000002,2022-08-25,1136
0,2022-08-26,1136
0,2022-08-27,1136
0,2022-08-28,1136
0,2022-08-29,1136
0,2022-08-30,1136
0,2022-08-31,1136
30.0000000000002,2022-09-01,1166
0,2022-09-02,1166
0,2022-09-03,1166
0,2022-09-04,1166
0,2022-09-05,1166
0,2022-09-06,1166
0,2022-09-07,1166
29,2022-09-08,1195
0,2022-09-09,1195
0,2022-09-10,1195
0,2022-09-11,1195
0,2022-09-12,1195
0,2022-09-13,1195
0,2022-09-14,1195
13.9999999999998,2022-09-15,1209
0,2022-09-16,1209
0,2022-09-17,1209
0,2022-09-18,1209
0,2022-09-19,1209
0,2022-09-20,1209
0,2022-09-21,1209
5.99999999999977,2022-09-22,1215
